[11/12/2025, 12:46:13] [PERF] OPTIONS /api/auth/profile | Duration: 15ms | Status: 204
[11/12/2025, 12:46:13] [PERF] OPTIONS /api/auth/profile | Duration: 2ms | Status: 204
[11/12/2025, 12:46:14] [PERF] GET /profile | Duration: 698ms | Status: 304
[11/12/2025, 12:46:14] [PERF] OPTIONS /api/tasks | Duration: 0ms | Status: 204
[11/12/2025, 12:46:14] [PERF] OPTIONS /api/tasks | Duration: 1ms | Status: 204
[11/12/2025, 12:46:14] [PERF] OPTIONS /api/posts | Duration: 0ms | Status: 204
[11/12/2025, 12:46:14] [PERF] OPTIONS /api/posts | Duration: 1ms | Status: 204
[11/12/2025, 12:46:15] [PERF] GET /profile | Duration: 877ms | Status: 304
[11/12/2025, 12:46:15] [PERF] GET / | Duration: 786ms | Status: 304
[11/12/2025, 12:46:15] [PERF] GET / | Duration: 1354ms | Status: 304
[11/12/2025, 12:46:16] [PERF] GET / | Duration: 649ms | Status: 304
[11/12/2025, 12:46:17] [PERF] GET / | Duration: 1570ms | Status: 304
[11/12/2025, 12:47:29] [PERF] OPTIONS /api/auth/login | Duration: 3ms | Status: 204
[11/12/2025, 12:47:30] [PERF] POST /login | Duration: 690ms | Status: 200
[11/12/2025, 12:47:30] [PERF] OPTIONS /api/tasks | Duration: 1ms | Status: 204
[11/12/2025, 12:47:30] [PERF] OPTIONS /api/tasks | Duration: 4ms | Status: 204
[11/12/2025, 12:47:30] [PERF] OPTIONS /api/auth/profile | Duration: 1ms | Status: 204
[11/12/2025, 12:47:30] [PERF] OPTIONS /api/auth/profile | Duration: 1ms | Status: 204
[11/12/2025, 12:47:31] [PERF] GET /profile | Duration: 359ms | Status: 200
[11/12/2025, 12:47:31] [PERF] OPTIONS /api/posts | Duration: 0ms | Status: 204
[11/12/2025, 12:47:31] [PERF] OPTIONS /api/posts | Duration: 0ms | Status: 204
[11/12/2025, 12:47:31] [PERF] GET /profile | Duration: 634ms | Status: 304
[11/12/2025, 12:47:32] [PERF] GET / | Duration: 935ms | Status: 304
[11/12/2025, 12:47:32] [PERF] GET / | Duration: 1279ms | Status: 304
[11/12/2025, 12:47:33] [PERF] GET / | Duration: 802ms | Status: 304
[11/12/2025, 12:47:33] [PERF] GET / | Duration: 624ms | Status: 304
[11/12/2025, 12:48:18] [PERF] OPTIONS /api/tasks | Duration: 7ms | Status: 204
[11/12/2025, 12:48:18] [PERF] OPTIONS /api/tasks | Duration: 5ms | Status: 204
[11/12/2025, 12:48:19] [PERF] GET / | Duration: 262ms | Status: 304
[11/12/2025, 12:48:19] [PERF] GET / | Duration: 278ms | Status: 304
[11/12/2025, 12:48:57] [PERF] OPTIONS /api/posts | Duration: 1ms | Status: 204
[11/12/2025, 12:48:57] [PERF] OPTIONS /api/posts | Duration: 1ms | Status: 204
[11/12/2025, 12:48:58] [PERF] GET / | Duration: 515ms | Status: 304
[11/12/2025, 12:48:58] [PERF] GET / | Duration: 295ms | Status: 304
[11/12/2025, 12:48:58] [PERF] OPTIONS /api/tasks | Duration: 1ms | Status: 204
[11/12/2025, 12:48:59] [PERF] OPTIONS /api/tasks/stats | Duration: 1ms | Status: 204
[11/12/2025, 12:48:59] [PERF] OPTIONS /api/tasks/stats | Duration: 6ms | Status: 204
[11/12/2025, 12:48:59] [PERF] OPTIONS /api/tasks | Duration: 6ms | Status: 204
[11/12/2025, 12:48:59] [PERF] OPTIONS /api/users | Duration: 1ms | Status: 204
[11/12/2025, 12:48:59] [PERF] OPTIONS /api/users | Duration: 1ms | Status: 204
[11/12/2025, 12:48:59] [PERF] GET / | Duration: 398ms | Status: 304
[11/12/2025, 12:48:59] [PERF] GET / | Duration: 514ms | Status: 304
[11/12/2025, 12:48:59] [PERF] GET / | Duration: 181ms | Status: 304
[11/12/2025, 12:48:59] [PERF] GET /stats | Duration: 693ms | Status: 304
[11/12/2025, 12:48:59] [PERF] GET / | Duration: 275ms | Status: 304
[11/12/2025, 12:49:00] [PERF] GET /stats | Duration: 502ms | Status: 304
[11/12/2025, 12:51:05] [PERF] OPTIONS /api/users | Duration: 2ms | Status: 204
[11/12/2025, 12:51:05] [PERF] OPTIONS /api/users | Duration: 2ms | Status: 204
[11/12/2025, 12:51:06] [PERF] GET / | Duration: 552ms | Status: 304
[11/12/2025, 12:51:06] [PERF] GET / | Duration: 567ms | Status: 304
[11/12/2025, 12:51:33] [PERF] OPTIONS /api/posts | Duration: 2ms | Status: 204
[11/12/2025, 12:51:33] [PERF] OPTIONS /api/posts | Duration: 1ms | Status: 204
[11/12/2025, 12:51:34] [PERF] GET / | Duration: 563ms | Status: 304
[11/12/2025, 12:51:35] [PERF] GET / | Duration: 1112ms | Status: 304
[11/12/2025, 12:52:45] [PERF] OPTIONS /api/tasks | Duration: 0ms | Status: 204
[11/12/2025, 12:52:45] [PERF] OPTIONS /api/tasks | Duration: 1ms | Status: 204
[11/12/2025, 12:52:45] [PERF] GET / | Duration: 253ms | Status: 304
[11/12/2025, 12:52:45] [PERF] GET / | Duration: 242ms | Status: 304
[11/12/2025, 12:52:47] [PERF] OPTIONS /api/posts | Duration: 1ms | Status: 204
[11/12/2025, 12:52:47] [PERF] OPTIONS /api/posts | Duration: 0ms | Status: 204
[11/12/2025, 12:52:48] [PERF] GET / | Duration: 492ms | Status: 304
[11/12/2025, 12:52:48] [PERF] GET / | Duration: 532ms | Status: 304
[11/12/2025, 12:52:48] [PERF] GET / | Duration: 410ms | Status: 304
[11/12/2025, 12:52:49] [PERF] GET / | Duration: 851ms | Status: 304
[11/12/2025, 12:52:49] [PERF] OPTIONS /api/users | Duration: 1ms | Status: 204
[11/12/2025, 12:52:49] [PERF] OPTIONS /api/users | Duration: 1ms | Status: 204
